colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width
Elemental Grey,Smooth,Laminate,57818,Laminate Elemental Grey Smooth Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T05:22:02Z,Smooth,0.7,1825,680
Elemental Grey,Smooth,Laminate,57815,Laminate Elemental Grey Smooth 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T05:22:05Z,Smooth,0.7,3650,1360
Elemental Grey,Smooth,Laminate,57817,Laminate Elemental Grey Smooth HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T05:22:08Z,Smooth,0.7,1825,1360
Agave,Smooth,Laminate,52115,Laminate Agave Smooth 0.7mm 3650 x 1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/agave/,2025-08-21T05:22:31Z,Smooth,0.7,3650,1220
Mercurio Grey,Smooth,Laminate,52805,Laminate Mercurio Grey Smooth 0.7mm 3650 x 1220,1,In stock at your branch,$210.76*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/mercurio-grey/,2025-08-21T05:25:35Z,Smooth,0.7,3650,1220
Arabica,Smooth,Laminate,52120,Laminate Arabica Smooth 0.7mm 3650 x 1220,1,In stock at supply site,$210.76*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/arabica/,2025-08-21T05:27:35Z,Smooth,0.7,3650,1220
Oxford,Matt,Laminate,49700,Laminate Oxford Matt 0.7mm 3650x1220 - Film,1,In stock at your branch,$181.95*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/oxford/,2025-08-21T05:28:56Z,Matt,0.7,3650,1220
Quartiera Maple,Woodmatt,Laminate,51827,Laminate Quartiera Maple Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/quartiera-maple/,2025-08-21T05:29:38Z,Woodmatt,0.7,3650,1360
Quartiera Maple,Woodmatt,Laminate,51830,Laminate Quartiera Maple Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/quartiera-maple/,2025-08-21T05:29:41Z,Woodmatt,0.7,1825,680
Quartiera Maple,Woodmatt,Laminate,51828,Laminate Quartiera Maple Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/quartiera-maple/,2025-08-21T05:29:44Z,Woodmatt,0.7,3650,680
Quartiera Maple,Woodmatt,Laminate,51829,Laminate Quartiera Maple Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/quartiera-maple/,2025-08-21T05:29:47Z,Woodmatt,0.7,1825,1360
